name,category,calories,carbs,protein,fat,sodium,fiber,sugar,tags,description
김치찌개,국/찌개,250,10,15,12.0,1200,3,4,"['Korean', 'spicy', 'hot']",김치와 돼지고기를 넣고 끓인 한국의 전통 찌개
불고기,육류,400,10,30,25.0,800,1,8,"['Korean', 'beef', 'grilled']",달콤한 양념에 재운 소고기를 구운 한국 요리
비빔밥,밥류,600,80,20,15.0,900,5,6,"['Korean', 'rice', 'mixed']",밥 위에 여러 가지 나물과 고기를 올리고 고추장을 넣어 비벼 먹는 영양식
김치,반찬,30,6,1,0.2,500,2,3,"['Korean', 'fermented', 'spicy']",배추를 소금에 절여 양념과 함께 발효시킨 한국의 대표적인 발효 식품
떡볶이,분식,450,80,8,12.0,1100,2,15,"['Korean', 'spicy', 'rice cake']",떡과 고추장 소스를 매콤하게 볶은 한국의 대표적인 분식
라면,면류,500,70,10,20.0,1800,1,2,"['Korean', 'noodle', 'instant']",끓는 물에 면과 스프를 넣어 조리하는 한국의 대표적인 인스턴트 식품
김밥,분식,350,65,10,8.0,700,3,5,"['Korean', 'rice', 'seaweed']",김으로 밥과 다양한 재료를 말아 만든 한국의 대표적인 간편식
삼겹살,육류,500,0,25,42.0,600,0,0,"['Korean', 'pork', 'grilled']","돼지고기 배를 잘라낸 부위로, 기름이 세 겹으로 층을 이루고 있어 구웠을 때 맛이 좋음"
치킨,육류,450,15,35,30.0,1000,0,1,"['Korean', 'chicken', 'fried']",튀김옷을 입혀 바삭하게 튀긴 닭고기 요리로 한국에서 인기 있는 외식 메뉴
된장찌개,국/찌개,200,8,12,10.0,1000,4,2,"['Korean', 'soybean', 'traditional']","된장을 풀어 두부, 채소 등을 넣고 끓인 한국의 전통 찌개"
갈비탕,국/찌개,350,10,28,22.0,900,1,2,"['Korean', 'beef', 'soup']",소갈비를 넣고 푹 끓인 한국의 전통 탕 요리
냉면,면류,480,85,15,5.0,1200,3,6,"['Korean', 'noodle', 'cold']",차가운 국물에 메밀면을 말아 먹는 한국의 여름 대표 음식
잡채,반찬,320,45,10,15.0,600,4,8,"['Korean', 'noodle', 'vegetables']","당면과 여러 가지 채소, 고기를 함께 볶은 한국의 명절 음식"
돈까스,육류,550,40,25,35.0,700,2,3,"['Japanese', 'pork', 'fried']",돼지고기를 넓게 펴서 빵가루를 묻혀 튀긴 일본식 요리로 한국에서도 인기 있음
제육볶음,육류,450,15,30,28.0,850,2,10,"['Korean', 'pork', 'spicy']",돼지고기를 매콤한 양념으로 볶은 한국의 대표적인 반찬
